cytokine,cell
IL18,hepatocyte
IFNA,trophoblast cell
TGFB,effector T cell
FGF1,preadipocyte
THPO,megakaryocyte
IL7,"CD4-positive, alpha-beta intraepithelial T cell"
TNFSF8,"CD4-positive, alpha-beta T cell"
IL5,neutrophil
IL21,regulatory B cell
IFNA,fibroblast
HGF,kidney cell
IL15,lymphocyte
IFNL3,macrophage
IL1B,embryonic stem cell
IL9,epithelial cell
CCL2,mononuclear phagocyte
IL10,myeloid dendritic cell
EPO,basophilic erythroblast
CXCL12,hematopoietic stem cell
IL1B,T-helper 1 cell
IL22,type B pancreatic cell
LECT2,macrophage
FGF2,myelinating Schwann cell
IL21,conventional dendritic cell
TGFB,double negative thymocyte
CXCL9,epithelial cell
IL7,stromal cell
IL1B,glial cell
IL27,natural killer cell
HGF,osteoblast
IL12,dendritic cell
IL10,osteoblast
TNF,pancreatic acinar cell
CXCL12,fibroblast
EPO,granulocyte
TNF,T-helper 1 cell
TNFSF9,memory T cell
CXCL12,B cell
IL11,T-helper 2 cell
CSF3,adult endothelial progenitor cell
IL18,muscle cell
IL17,myotube
IL1RN,neuron of cerebral cortex
IL17,epidermal cell
CXCL16,T cell
TGFB2,T cell
CXCL12,interneuron
TGFB1,cholangiocyte
IL12,decidual natural killer cell
IL6,oocyte
FGF2,preosteoblast
PDGFA,cementoblast
TGFB,melanocyte
CCL3,eosinophil
IL12,mast cell
OSM,stromal cell
IL17,myoblast
IL17A,osteoblast
TGFB2,epithelial cell of lung
TGFB,hematopoietic stem cell
TGFB1,vein endothelial cell
EPO,mature neutrophil
IFNG,fat cell
PF4,monocyte
IL9,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL32,macrophage
IL1RN,muscle cell
CSF1,peritoneal macrophage
IL13,erythrocyte
IL1A,lymphocyte
TGFB2,osteoclast
TGFB,mature NK T cell
IL2,eosinophil
LIF,cardiac muscle cell
IL25,"CD4-positive, alpha-beta T cell"
IL18,monocyte
IL7,naive T cell
TNF,corneal epithelial cell
IL4,odontoclast
CCL5,effector T cell
IL20,endothelial cell
CCL7,eosinophil
IL4,erythroid progenitor cell
LIF,photoreceptor cell
CCL2,fat cell
PF4,neuron
CXCL11,endothelial cell
IL6,granulocyte
TNFSF15,induced T-regulatory cell
HGF,zygote
IL17A,mature neutrophil
IL27,microglial cell
CXCL1,stem cell
TGFB,glomerular visceral epithelial cell
IL12B,T-helper 1 cell
TGFB2,"CD8-positive, alpha-beta T cell"
IL4,naive B cell
IL1RN,classical monocyte
PF4,platelet
CXCL10,hepatocyte
IL10,Kupffer cell
IL23,eosinophil
MIF,T-helper 2 cell
IL31,keratinocyte
IL6,alternatively activated macrophage
CCL2,B cell
IL27,"CD8-positive, alpha-beta T cell"
IL35,endothelial cell
IL27,pneumocyte
IL7,fibroblast
CXCL2,endothelial cell
IL1RN,pericyte cell
CXCL8,stromal cell
IL1B,tendon cell
IFNA,neuron
IFNG,type B pancreatic cell
CXCL1,mature astrocyte
IL10,adult endothelial progenitor cell
IL21,stromal cell
IFN1,T cell
TNFSF4,T cell
IL10,mononuclear phagocyte
TGFB,endothelial cell of lymphatic vessel
IL3,eosinophil
IL4,keratinocyte
IL21,mature natural killer cell
IL10,memory T cell
IL6,cap cell
CXCL10,neuron
IL15,hepatocyte
IFNA,T-helper 2 cell
TGFB,respiratory epithelial cell
IFNG,enterocyte
IL4,smooth muscle cell
FGF2,hepatic stellate cell
TGFB2,retinal ganglion cell
IFNG,goblet cell
IL17A,T-helper 1 cell
IL1B,"CD4-positive, alpha-beta T cell"
RETN,hepatocyte
IL27,T-helper 2 cell
IL12,type B pancreatic cell
IL22,lining cell
CCL3,macrophage
TGFB1,dopaminergic neuron
CCL3,erythroid progenitor cell
EPO,hepatocyte
IL33,eosinophil
CCL26,astrocyte
IL1B,vascular associated smooth muscle cell
IFN1,leukocyte
IL1A,B cell
IL6,hematopoietic stem cell
SPP1,T-helper 1 cell
IFNA,induced T-regulatory cell
CXCL5,neutrophil
IL35,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB1,lymphocyte
FGF1,endothelial cell
TGFB1,pericyte cell
CXCL8,erythrocyte
TNF,germ cell
IL17,T-helper 17 cell
IL34,inflammatory macrophage
IL1A,precursor B cell
TGFB,sensory epithelial cell
IL1RN,T cell
IL1B,cardiac muscle cell
IL33,T-helper 2 cell
IL7,macrophage
IL12,naive T cell
CXCL12,megakaryocyte
TGFA,granulosa cell
CSF3,motor neuron
IL7,T-helper 17 cell
IL6,leukocyte
IL17F,professional antigen presenting cell
CSF1,endothelial cell
TNF,GABAergic neuron
IL2,induced T-regulatory cell
TGFB1,vascular associated smooth muscle cell
IFNB1,leukocyte
IL7,memory T cell
TGFB1,effector T cell
TNF,mesenchymal cell
CSF2,adult endothelial progenitor cell
IL10,astrocyte
CSF3,myotube
SPP1,smooth muscle cell
IFNG,decidual natural killer cell
IL17A,eosinophil
IL6,sensory neuron
IL2,naive T cell
IL1A,endothelial cell
TNF,regulatory T cell
TGFB1,granulosa cell
CCL4,monocyte
HGF,motor neuron
TNF,intestinal epithelial cell
IL10,Tr1 cell
TGFA,motor neuron
IL17,osteoblast
IL1B,microglial cell
IL17,cytotoxic T cell
CXCL10,adult endothelial progenitor cell
IL5,B cell
TGFB1,myotube
CCL2,neuronal stem cell
CCL22,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IFNA6,"CD8-positive, alpha-beta T cell"
IL1RN,dendritic epidermal T cell
TGFB2,osteoblast
